metric,report_dt,val
universalis,4/30/2014,84164707.49
universalis,3/31/2014,86227448.43
universalis,5/31/2014,91671353.24
universalis,6/30/2014,93404685.57
universalis,9/30/2014,97891616.71
universalis,7/31/2014,100517497.6
universalis,8/31/2014,103796383.1
universalis,11/30/2014,105454888.3
universalis,10/31/2014,105619366.5
universalis,2/28/2015,107463142.5
universalis,1/31/2015,111337802.2
universalis,3/31/2015,121325138.4
universalis,4/30/2015,121424184
universalis,5/31/2015,122958711
universalis,12/31/2014,128950409.5
universalis,6/30/2015,131402072
universalis,9/30/2015,137814088.3
universalis,7/31/2015,138856712.2
universalis,8/31/2015,140506226.9
universalis,2/28/2016,142129834.6
universalis,11/30/2015,145087671.5
universalis,10/31/2015,147306225.6
universalis,1/31/2016,149017191.3
universalis,4/30/2016,163303473.6
universalis,3/31/2016,164392685.3
universalis,5/31/2016,170610681.8
universalis,12/31/2015,172453086
universalis,6/30/2016,174482892.7
universalis,9/30/2016,183052853.8
universalis,2/28/2017,187110611.6
universalis,8/31/2016,187446474.5
universalis,7/31/2016,187643798.3
universalis,11/30/2016,196651914.3
universalis,10/31/2016,197223965.6
universalis,1/31/2017,197859752.3
universalis,4/30/2017,218644616.1
universalis,3/31/2017,219665667.3
universalis,5/31/2017,230441682.5
universalis,12/31/2016,232617981.2
universalis,6/30/2017,234592762.9
universalis,2/28/2018,238103187.6
universalis,9/30/2017,243083948.7
universalis,7/31/2017,244330986.8
universalis,1/31/2018,246372780.9
universalis,8/31/2017,248039771
universalis,10/31/2017,255721984.2
universalis,11/30/2017,256959945.3
universalis,4/30/2018,276125343.6
universalis,3/31/2018,285707775.5
universalis,5/31/2018,287130364.6
universalis,6/30/2018,297621796.5
universalis,12/31/2017,300990050.9
universalis,9/30/2018,306695298.8
universalis,7/31/2018,309679903.8
universalis,8/31/2018,313615203.1
universalis,10/31/2018,313927760.3
