metric,Block_Id,Terr_Id,report_dt,val
universalis,Эпсилон,D-946,7/31/2017,110.8330045
universalis,Эпсилон,D-946,1/31/2018,137.2837466
universalis,Эпсилон,D-946,9/30/2017,162.3259357
universalis,Эпсилон,D-946,4/30/2018,164.2313896
universalis,Эпсилон,D-946,8/31/2017,176.7154148
universalis,Эпсилон,D-946,2/28/2018,189.1142319
universalis,Эпсилон,D-946,3/31/2018,214.6780658
universalis,Эпсилон,D-946,12/31/2017,224.1006091
universalis,Эпсилон,D-946,11/30/2017,313.3300267
universalis,Эпсилон,D-946,10/31/2017,334.0948748
universalis,Эпсилон,D-946,1/31/2015,1539.295167
universalis,Эпсилон,D-946,2/28/2015,2047.058956
universalis,Эпсилон,D-946,11/30/2014,2083.732361
universalis,Эпсилон,D-946,12/31/2014,2092.938486
universalis,Эпсилон,D-946,4/30/2015,2195.27193
universalis,Эпсилон,D-946,9/30/2018,2201.78994
universalis,Эпсилон,D-946,3/31/2015,2329.029167
universalis,Эпсилон,D-946,7/31/2014,2448.624144
universalis,Эпсилон,D-946,10/31/2014,2758.261236
universalis,Эпсилон,D-946,7/31/2015,2762.755542
universalis,Эпсилон,D-946,9/30/2014,2763.744096
universalis,Эпсилон,D-946,8/31/2018,2768.773511
universalis,Эпсилон,D-946,5/31/2014,2864.497686
universalis,Эпсилон,D-946,5/31/2015,2866.158644
universalis,Эпсилон,D-946,6/30/2014,2998.730872
universalis,Эпсилон,D-946,8/31/2014,3131.605401
universalis,Эпсилон,D-946,6/30/2015,3168.582883
universalis,Эпсилон,D-946,11/30/2015,3350.761386
universalis,Эпсилон,D-946,7/31/2018,3536.828961
universalis,Эпсилон,D-946,2/28/2016,3637.551993
universalis,Эпсилон,D-946,1/31/2017,4119.054255
universalis,Эпсилон,D-946,8/31/2015,4119.285535
universalis,Эпсилон,D-946,1/31/2016,4203.900686
universalis,Эпсилон,D-946,10/31/2015,4300.090159
universalis,Эпсилон,D-946,3/31/2016,4429.843801
universalis,Эпсилон,D-946,12/31/2015,4621.829036
universalis,Эпсилон,D-946,2/28/2017,4787.113939
universalis,Эпсилон,D-946,4/30/2014,4959.905532
universalis,Эпсилон,D-946,6/30/2017,4974.882839
universalis,Эпсилон,D-946,11/30/2016,5455.868048
universalis,Эпсилон,D-946,10/31/2018,5490.059306
universalis,Эпсилон,D-946,3/31/2017,5545.875357
universalis,Эпсилон,D-946,9/30/2015,5703.711058
universalis,Эпсилон,D-946,12/31/2016,5838.431864
universalis,Тета,E-854,4/30/2014,5964.845478
universalis,Тета,E-854,5/31/2014,6084.066829
universalis,Тета,E-854,9/30/2014,6285.055926
universalis,Тета,E-854,6/30/2014,6447.646835
universalis,Эпсилон,D-946,10/31/2016,6734.123154
universalis,Эпсилон,D-946,7/31/2016,7058.303243
universalis,Тета,E-854,8/31/2014,7653.079585
universalis,Тета,E-854,2/28/2015,8076.646824
universalis,Тета,E-854,3/31/2014,8100.356156
universalis,Тета,E-854,10/31/2014,8241.31436
universalis,Тета,E-854,11/30/2014,8309.59198
universalis,Эпсилон,D-946,5/31/2017,8414.612325
universalis,Тета,E-854,7/31/2014,8606.058376
universalis,Тета,D-602,4/30/2014,8757.313479
universalis,Эпсилон,D-946,3/31/2014,8774.177768
universalis,Тета,D-602,3/31/2014,8780.466972
universalis,Эпсилон,D-946,8/31/2016,8925.17316
universalis,Тета,E-854,1/31/2015,9535.456815
universalis,Эпсилон,D-946,5/31/2018,9642.028855
universalis,Тета,E-854,5/31/2015,9901.770399
universalis,Эпсилон,D-946,4/30/2016,10026.51043
universalis,Тета,E-854,4/30/2015,10274.40121
universalis,Тета,E-854,6/30/2015,10681.4846
universalis,Тета,E-854,12/31/2014,10700.43179
universalis,Тета,E-854,3/31/2015,11079.11298
universalis,Тета,E-854,8/31/2015,11642.53487
universalis,Тета,E-854,11/30/2015,11662.11508
universalis,Тета,D-602,8/31/2014,11711.85867
universalis,Тета,E-854,10/31/2015,11892.18367
universalis,Тета,E-854,7/31/2015,11944.17947
universalis,Тета,E-854,9/30/2015,12188.63516
universalis,Тета,D-602,5/31/2014,12227.30837
universalis,Эпсилон,D-946,5/31/2016,12649.55418
universalis,Эпсилон,D-946,9/30/2016,12969.88239
universalis,Тета,D-602,6/30/2014,13263.43182
universalis,Тета,E-854,1/31/2016,13740.50686
universalis,Тета,E-854,2/28/2016,13882.19055
universalis,Эпсилон,D-946,6/30/2016,14393.13185
universalis,Тета,D-602,11/30/2014,14568.78378
universalis,Тета,E-854,12/31/2015,14879.91673
universalis,Тета,D-602,10/31/2014,15332.75715
universalis,Тета,E-854,6/30/2016,15519.85355
universalis,Тета,D-602,9/30/2014,15580.80112
universalis,Тета,D-602,7/31/2014,15712.39784
universalis,Тета,E-854,4/30/2016,16026.40125
universalis,Тета,D-602,1/31/2015,16197.6302
universalis,Тета,E-854,7/31/2016,16925.66882
universalis,Тета,E-854,3/31/2016,16953.74979
universalis,Тета,E-854,9/30/2016,17086.63076
universalis,Тета,E-854,10/31/2016,17446.98877
universalis,Тета,E-854,5/31/2016,17482.28953
